Institución Educativa;Grado;NIVEL_MCER;Población;Jornada;FECHA;IDIOMA
I. E. DOMINGO SAVIO;7;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;2023;Ingles
I. E. DOMINGO SAVIO;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;2023;Ingles
I. E. DOMINGO SAVIO;9;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;2023;Ingles
I. E. SAN ANTONIO;5;SIN INFORMACIÓN;SIN INFORMACIÓN;1;2023;Ingles
I. E. SAN ANTONIO;4;SIN INFORMACIÓN;SIN INFORMACIÓN;2;2023;Ingles
I. E. SAN ANTONIO;5;A1;SIN INFORMACIÓN;2;2023;Ingles
I. E. SAN ANTONIO;3;SIN INFORMACIÓN;SIN INFORMACIÓN;1;2023;Ingles
I. E. SAN ANTONIO;3;SIN INFORMACIÓN;SIN INFORMACIÓN;1;2023;Ingles
I. E. SAN ANTONIO;4;SIN INFORMACIÓN;SIN INFORMACIÓN;2;2023;Ingles
I. E. SAN ANTONIO;4;SIN INFORMACIÓN;SIN INFORMACIÓN;2;2023;Ingles
I. E. JOSEFINA MUÑOZ GONZÁLES;9;SIN INFORMACIÓN;SIN INFORMACIÓN;TARDE;2023;Frances
I. E. JOSEFINA MUÑOZ GONZÁLES;9;SIN INFORMACIÓN;SIN INFORMACIÓN;TARDE;2023;Frances
I. E. JOSEFINA MUÑOZ GONZÁLES;9;SIN INFORMACIÓN;SIN INFORMACIÓN;TARDE;2023;Frances
I. E. DOMINGO SAVIO;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;2023;Ingles
I. E. DOMINGO SAVIO;7;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;2023;Ingles
I. E. DOMINGO SAVIO;9;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;2023;Ingles
I. E. DOMINGO SAVIO;3;A1;SIN INFORMACIÓN;SIN INFORMACIÓN;2023;Ingles
I. E. SAN ANTONIO;3;SIN INFORMACIÓN;SIN INFORMACIÓN;1;2023;Ingles
I. E. DOMINGO SAVIO;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;2023;Ingles
I. E. JOSEFINA MUÑOZ GONZÁLES;9;SIN INFORMACIÓN;SIN INFORMACIÓN;TARDE;2023;Frances
I. E. DOMINGO SAVIO;6;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;2023;Ingles
I. E. SAN ANTONIO;5;SIN INFORMACIÓN;SIN INFORMACIÓN;2;2023;Ingles
I. E. JOSEFINA MUÑOZ GONZÁLES;9;Pre-A1;SIN INFORMACIÓN;TARDE;2023;Frances
I. E. JOSEFINA MUÑOZ GONZÁLES;9;A1;SIN INFORMACIÓN;TARDE;2023;Frances
I. E. JOSEFINA MUÑOZ GONZÁLES;9;SIN INFORMACIÓN;SIN INFORMACIÓN;TARDE;2023;Frances
I. E. JOSEFINA MUÑOZ GONZÁLES;9;SIN INFORMACIÓN;SIN INFORMACIÓN;TARDE;2023;Frances
I. E. DOMINGO SAVIO;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;2023;Ingles
I. E. DOMINGO SAVIO;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;2023;Ingles
I. E. DOMINGO SAVIO;8;A1;SIN INFORMACIÓN;SIN INFORMACIÓN;2023;Ingles
I. E. SAN ANTONIO;1;SIN INFORMACIÓN;SIN INFORMACIÓN;1;2023;Ingles
I. E. SAN ANTONIO;1;A1;SIN INFORMACIÓN;1;2023;Ingles
I. E. SAN ANTONIO;2;SIN INFORMACIÓN;SIN INFORMACIÓN;1;2023;Ingles
I. E. SAN ANTONIO;3;SIN INFORMACIÓN;SIN INFORMACIÓN;1;2023;Ingles
I. E. JOSEFINA MUÑOZ GONZÁLES;9;SIN INFORMACIÓN;SIN INFORMACIÓN;TARDE;2023;Frances
I. E. SAN ANTONIO;2;A1;SIN INFORMACIÓN;1;2023;Ingles
I. E. DOMINGO SAVIO;SIN INFORMACIÓN;A1;SIN INFORMACIÓN;SIN INFORMACIÓN;2023;Ingles
I. E. SAN ANTONIO;3;SIN INFORMACIÓN;SIN INFORMACIÓN;1;2023;Ingles
I. E. DOMINGO SAVIO;6;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;2023;Ingles
I. E. SAN ANTONIO;2;SIN INFORMACIÓN;SIN INFORMACIÓN;1;2023;Ingles
I. E. JOSEFINA MUÑOZ GONZÁLES;11;SIN INFORMACIÓN;SIN INFORMACIÓN;TARDE;2023;Frances
I. E. JOSEFINA MUÑOZ GONZÁLES;11;SIN INFORMACIÓN;SIN INFORMACIÓN;TARDE;2023;Ingles
I. E. DOMINGO SAVIO;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;2023;Ingles
I. E. SAN ANTONIO;5;SIN INFORMACIÓN;SIN INFORMACIÓN;2;2023;Ingles
I. E. JOSEFINA MUÑOZ GONZÁLES;10;SIN INFORMACIÓN;SIN INFORMACIÓN;TARDE;2023;Frances
I. E. JOSEFINA MUÑOZ GONZÁLES;10;SIN INFORMACIÓN;SIN INFORMACIÓN;TARDE;2023;Ingles
I. E. DOMINGO SAVIO;11;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;2023;Ingles
I. E. DOMINGO SAVIO;8;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;2023;Ingles
I. E. DOMINGO SAVIO;6;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;2023;Ingles
I. E. SAN ANTONIO;3;SIN INFORMACIÓN;SIN INFORMACIÓN;1;2023;Ingles
I. E. SAN ANTONIO;4;A1;SIN INFORMACIÓN;2;2023;Ingles
I. E. DOMINGO SAVIO;9;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;2023;Ingles
I. E. DOMINGO SAVIO;8;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;2023;Ingles
I. E. DOMINGO SAVIO;6;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;2023;Ingles
I. E. JOSEFINA MUÑOZ GONZÁLES;9;SIN INFORMACIÓN;SIN INFORMACIÓN;TARDE;2023;Frances
I. E. JOSEFINA MUÑOZ GONZÁLES;9;SIN INFORMACIÓN;SIN INFORMACIÓN;TARDE;2023;Frances
I. E. JOSEFINA MUÑOZ GONZÁLES;9;SIN INFORMACIÓN;SIN INFORMACIÓN;TARDE;2023;Frances
I. E. JOSEFINA MUÑOZ GONZÁLES;11;SIN INFORMACIÓN;SIN INFORMACIÓN;TARDE;2023;Frances
I. E. JOSEFINA MUÑOZ GONZÁLES;11;A1;SIN INFORMACIÓN;TARDE;2023;Ingles
I. E. DOMINGO SAVIO;4;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;2023;Ingles
I. E. DOMINGO SAVIO;11;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;2023;Ingles
I. E. DOMINGO SAVIO;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;2023;Ingles
I. E. DOMINGO SAVIO;6;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;2023;Ingles
I. E. SAN ANTONIO;4;SIN INFORMACIÓN;SIN INFORMACIÓN;2;2023;Ingles
I. E. SAN ANTONIO;2;SIN INFORMACIÓN;SIN INFORMACIÓN;1;2023;Ingles
I. E. SAN ANTONIO;5;SIN INFORMACIÓN;SIN INFORMACIÓN;2;2023;Ingles
I. E. SAN ANTONIO;3;SIN INFORMACIÓN;SIN INFORMACIÓN;1;2023;Ingles
I. E. SAN ANTONIO;5;SIN INFORMACIÓN;SIN INFORMACIÓN;2;2023;Ingles
I. E. SAN ANTONIO;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;1;2023;Ingles
I. E. SAN ANTONIO;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;1;2023;Ingles
I. E. SAN ANTONIO;3;SIN INFORMACIÓN;SIN INFORMACIÓN;1;2023;Ingles
I. E. DOMINGO SAVIO;3;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;2023;Ingles
I. E. DOMINGO SAVIO;6;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;2023;Ingles
I. E. DOMINGO SAVIO;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;2023;Ingles
I. E. DOMINGO SAVIO;6;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;2023;Ingles
I. E. DOMINGO SAVIO;4;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;2023;Ingles
I. E. DOMINGO SAVIO;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;2023;Ingles
I. E. DOMINGO SAVIO;10;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;2023;Ingles
I. E. DOMINGO SAVIO;6;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;2023;Ingles
I. E. SAN ANTONIO;3;A1;SIN INFORMACIÓN;1;2023;Ingles
I. E. SAN ANTONIO;1;SIN INFORMACIÓN;SIN INFORMACIÓN;1;2023;Ingles
I. E. DOMINGO SAVIO;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;2023;Ingles
I. E. SAN ANTONIO;5;SIN INFORMACIÓN;SIN INFORMACIÓN;2;2023;Ingles
I. E. DOMINGO SAVIO;7;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;2023;Ingles
I. E. SAN ANTONIO;5;SIN INFORMACIÓN;SIN INFORMACIÓN;2;2023;Ingles
I. E. DOMINGO SAVIO;6;A1;SIN INFORMACIÓN;SIN INFORMACIÓN;2023;Ingles
I. E. DOMINGO SAVIO;3;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;2023;Ingles
I. E. DOMINGO SAVIO;SIN INFORMACIÓN;A1;SIN INFORMACIÓN;SIN INFORMACIÓN;2023;Ingles
I. E. JOSEFINA MUÑOZ GONZÁLES;9;SIN INFORMACIÓN;SIN INFORMACIÓN;TARDE;2023;Frances
I. E. DOMINGO SAVIO;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;2023;Ingles
I. E. SAN ANTONIO;1;A1;SIN INFORMACIÓN;1;2023;Ingles
I. E. SAN ANTONIO;1;SIN INFORMACIÓN;SIN INFORMACIÓN;1;2023;Ingles
I. E. SAN ANTONIO;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;1;2023;Ingles
I. E. SAN ANTONIO;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;1;2023;Ingles
I. E. SAN ANTONIO;4;SIN INFORMACIÓN;SIN INFORMACIÓN;2;2023;Ingles
I. E. JOSEFINA MUÑOZ GONZÁLES;9;SIN INFORMACIÓN;SIN INFORMACIÓN;TARDE;2023;Frances
I. E. JOSEFINA MUÑOZ GONZÁLES;9;SIN INFORMACIÓN;SIN INFORMACIÓN;TARDE;2023;Frances
I. E. DOMINGO SAVIO;7;A1;SIN INFORMACIÓN;SIN INFORMACIÓN;2023;Ingles
I. E. DOMINGO SAVIO;8;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;2023;Ingles
I. E. DOMINGO SAVIO;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;2023;Ingles
I. E. SAN ANTONIO;5;SIN INFORMACIÓN;SIN INFORMACIÓN;2;2023;Ingles
I. E. DOMINGO SAVIO;3;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;2023;Ingles
I. E. JOSEFINA MUÑOZ GONZÁLES;9;A1;SIN INFORMACIÓN;TARDE;2023;Frances
I. E. JOSEFINA MUÑOZ GONZÁLES;10;SIN INFORMACIÓN;SIN INFORMACIÓN;TARDE;2023;Frances
I. E. JOSEFINA MUÑOZ GONZÁLES;10;SIN INFORMACIÓN;SIN INFORMACIÓN;TARDE;2023;Ingles
I. E. JOSEFINA MUÑOZ GONZÁLES;11;SIN INFORMACIÓN;SIN INFORMACIÓN;TARDE;2023;Frances
I. E. JOSEFINA MUÑOZ GONZÁLES;11;SIN INFORMACIÓN;SIN INFORMACIÓN;TARDE;2023;Ingles
I. E. DOMINGO SAVIO;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;2023;Ingles
I. E. DOMINGO SAVIO;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;2023;Ingles
I. E. DOMINGO SAVIO;10;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;2023;Ingles
I. E. DOMINGO SAVIO;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;2023;Ingles
I. E. DOMINGO SAVIO;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;2023;Ingles
I. E. DOMINGO SAVIO;7;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;2023;Ingles
I. E. DOMINGO SAVIO;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;2023;Ingles
I. E. SAN ANTONIO;3;SIN INFORMACIÓN;SIN INFORMACIÓN;1;2023;Ingles
I. E. DOMINGO SAVIO;8;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;2023;Ingles
I. E. DOMINGO SAVIO;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;2023;Ingles
I. E. DOMINGO SAVIO;8;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;2023;Ingles
I. E. SAN ANTONIO;5;SIN INFORMACIÓN;SIN INFORMACIÓN;2;2023;Ingles
I. E. SAN ANTONIO;3;A1;SIN INFORMACIÓN;1;2023;Ingles
I. E. SAN ANTONIO;1;Pre-A1;SIN INFORMACIÓN;1;2023;Ingles
I. E. SAN ANTONIO;2;A1;SIN INFORMACIÓN;1;2023;Ingles
I. E. DOMINGO SAVIO;SIN INFORMACIÓN;A1;SIN INFORMACIÓN;SIN INFORMACIÓN;2023;Ingles
I. E. DOMINGO SAVIO;3;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;2023;Ingles
I. E. SAN ANTONIO;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;1;2023;Ingles
I. E. SAN ANTONIO;3;SIN INFORMACIÓN;SIN INFORMACIÓN;2;2023;Ingles
I. E. JOSEFINA MUÑOZ GONZÁLES;9;A1;SIN INFORMACIÓN;TARDE;2023;Frances
I. E. DOMINGO SAVIO;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;2023;Ingles
I. E. JOSEFINA MUÑOZ GONZÁLES;9;SIN INFORMACIÓN;SIN INFORMACIÓN;TARDE;2023;Frances
I. E. SAN ANTONIO;2;SIN INFORMACIÓN;SIN INFORMACIÓN;1;2023;Ingles
I. E. SAN ANTONIO;3;SIN INFORMACIÓN;SIN INFORMACIÓN;2;2023;Ingles
I. E. DOMINGO SAVIO;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;2023;Ingles
I. E. JOSEFINA MUÑOZ GONZÁLES;9;SIN INFORMACIÓN;SIN INFORMACIÓN;TARDE;2023;Frances
I. E. DOMINGO SAVIO;9;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;2023;Ingles
I. E. DOMINGO SAVIO;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;2023;Ingles
I. E. SAN ANTONIO;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;1;2023;Ingles
I. E. SAN ANTONIO;3;SIN INFORMACIÓN;SIN INFORMACIÓN;1;2023;Ingles
I. E. JOSEFINA MUÑOZ GONZÁLES;10;SIN INFORMACIÓN;SIN INFORMACIÓN;TARDE;2023;Frances
I. E. JOSEFINA MUÑOZ GONZÁLES;10;SIN INFORMACIÓN;SIN INFORMACIÓN;TARDE;2023;Ingles
I. E. DOMINGO SAVIO;7;A1;SIN INFORMACIÓN;SIN INFORMACIÓN;2023;Ingles
I. E. SAN ANTONIO;2;SIN INFORMACIÓN;SIN INFORMACIÓN;1;2023;Ingles
I. E. JOSEFINA MUÑOZ GONZÁLES;11;SIN INFORMACIÓN;SIN INFORMACIÓN;TARDE;2023;Frances
I. E. JOSEFINA MUÑOZ GONZÁLES;11;SIN INFORMACIÓN;SIN INFORMACIÓN;TARDE;2023;Ingles
I. E. DOMINGO SAVIO;8;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;2023;Ingles
I. E. SAN ANTONIO;3;SIN INFORMACIÓN;SIN INFORMACIÓN;1;2023;Ingles
I. E. SAN ANTONIO;2;SIN INFORMACIÓN;SIN INFORMACIÓN;1;2023;Ingles
I. E. JOSEFINA MUÑOZ GONZÁLES;9;A1;SIN INFORMACIÓN;TARDE;2023;Frances
I. E. JOSEFINA MUÑOZ GONZÁLES;9;SIN INFORMACIÓN;SIN INFORMACIÓN;TARDE;2023;Frances
I. E. SAN ANTONIO;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;1;2023;Ingles
I. E. SAN ANTONIO;4;SIN INFORMACIÓN;SIN INFORMACIÓN;2;2023;Ingles
I. E. JOSEFINA MUÑOZ GONZÁLES;9;SIN INFORMACIÓN;SIN INFORMACIÓN;TARDE;2023;Frances
I. E. SAN ANTONIO;2;SIN INFORMACIÓN;SIN INFORMACIÓN;1;2023;Ingles
I. E. DOMINGO SAVIO;7;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;2023;Ingles
I. E. DOMINGO SAVIO;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;2023;Ingles
I. E. DOMINGO SAVIO;SIN INFORMACIÓN;A1;SIN INFORMACIÓN;SIN INFORMACIÓN;2023;Ingles
I. E. DOMINGO SAVIO;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;2023;Ingles
I. E. DOMINGO SAVIO;11;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;2023;Ingles
I. E. SAN ANTONIO;4;SIN INFORMACIÓN;SIN INFORMACIÓN;2;2023;Ingles
I. E. DOMINGO SAVIO;7;A1;SIN INFORMACIÓN;SIN INFORMACIÓN;2023;Ingles
I. E. JOSEFINA MUÑOZ GONZÁLES;9;SIN INFORMACIÓN;SIN INFORMACIÓN;TARDE;2023;Frances
I. E. JOSEFINA MUÑOZ GONZÁLES;10;SIN INFORMACIÓN;SIN INFORMACIÓN;TARDE;2023;Frances
I. E. JOSEFINA MUÑOZ GONZÁLES;10;SIN INFORMACIÓN;SIN INFORMACIÓN;TARDE;2023;Ingles
I. E. DOMINGO SAVIO;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;2023;Ingles
I. E. SAN ANTONIO;1;SIN INFORMACIÓN;SIN INFORMACIÓN;1;2023;Ingles
I. E. JOSEFINA MUÑOZ GONZÁLES;10;SIN INFORMACIÓN;SIN INFORMACIÓN;TARDE;2023;Frances
I. E. JOSEFINA MUÑOZ GONZÁLES;10;SIN INFORMACIÓN;SIN INFORMACIÓN;TARDE;2023;Ingles
I. E. DOMINGO SAVIO;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;2023;Ingles
I. E. JOSEFINA MUÑOZ GONZÁLES;11;SIN INFORMACIÓN;SIN INFORMACIÓN;TARDE;2023;Frances
I. E. JOSEFINA MUÑOZ GONZÁLES;11;SIN INFORMACIÓN;SIN INFORMACIÓN;TARDE;2023;Ingles
I. E. JOSEFINA MUÑOZ GONZÁLES;9;SIN INFORMACIÓN;SIN INFORMACIÓN;TARDE;2023;Frances
I. E. DOMINGO SAVIO;6;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;2023;Ingles
I. E. SAN ANTONIO;4;SIN INFORMACIÓN;SIN INFORMACIÓN;2;2023;Ingles
I. E. SAN ANTONIO;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;1;2023;Ingles
I. E. JOSEFINA MUÑOZ GONZÁLES;9;SIN INFORMACIÓN;Niños;SIN INFORMACIÓN;2022;Frances
I. E. JOSEFINA MUÑOZ GONZÁLES;SIN INFORMACIÓN;SIN INFORMACIÓN;Niños;SIN INFORMACIÓN;2022;Frances
I. E. JOSEFINA MUÑOZ GONZÁLES;9;SIN INFORMACIÓN;Niños;SIN INFORMACIÓN;2022;Frances
I. E. JOSEFINA MUÑOZ GONZÁLES;SIN INFORMACIÓN;SIN INFORMACIÓN;Niños;SIN INFORMACIÓN;2022;Frances
I. E. JOSEFINA MUÑOZ GONZÁLES;SIN INFORMACIÓN;SIN INFORMACIÓN;Niños;SIN INFORMACIÓN;2022;Frances
I. E. JOSEFINA MUÑOZ GONZÁLES;9;SIN INFORMACIÓN;Niños;SIN INFORMACIÓN;2022;Frances
I. E. JOSEFINA MUÑOZ GONZÁLES;9;SIN INFORMACIÓN;Niños;SIN INFORMACIÓN;2022;Frances
I. E. JOSEFINA MUÑOZ GONZÁLES;SIN INFORMACIÓN;SIN INFORMACIÓN;Niños;SIN INFORMACIÓN;2022;Frances
I. E. JOSEFINA MUÑOZ GONZÁLES;9;SIN INFORMACIÓN;Niños;SIN INFORMACIÓN;2022;Frances
I. E. JOSEFINA MUÑOZ GONZÁLES;9;SIN INFORMACIÓN;Niños;SIN INFORMACIÓN;2022;Frances
I. E. JOSEFINA MUÑOZ GONZÁLES;SIN INFORMACIÓN;SIN INFORMACIÓN;Niños;SIN INFORMACIÓN;2022;Frances
I. E. JOSEFINA MUÑOZ GONZÁLES;SIN INFORMACIÓN;SIN INFORMACIÓN;Niños;SIN INFORMACIÓN;2022;Frances
I. E. JOSEFINA MUÑOZ GONZÁLES;SIN INFORMACIÓN;SIN INFORMACIÓN;Niños;SIN INFORMACIÓN;2022;Frances
I. E. JOSEFINA MUÑOZ GONZÁLES;SIN INFORMACIÓN;SIN INFORMACIÓN;Niños;SIN INFORMACIÓN;2022;Frances
I. E. JOSEFINA MUÑOZ GONZÁLES;SIN INFORMACIÓN;SIN INFORMACIÓN;Niños;SIN INFORMACIÓN;2022;Frances
I. E. JOSEFINA MUÑOZ GONZÁLES;SIN INFORMACIÓN;SIN INFORMACIÓN;Niños;SIN INFORMACIÓN;2022;Frances
I. E. JOSEFINA MUÑOZ GONZÁLES;SIN INFORMACIÓN;SIN INFORMACIÓN;Niños;SIN INFORMACIÓN;2022;Frances
I. E. JOSEFINA MUÑOZ GONZÁLES;SIN INFORMACIÓN;SIN INFORMACIÓN;Niños;SIN INFORMACIÓN;2022;Frances
I. E. JOSEFINA MUÑOZ GONZÁLES;SIN INFORMACIÓN;SIN INFORMACIÓN;Niños;SIN INFORMACIÓN;2022;Frances
I. E. JOSEFINA MUÑOZ GONZÁLES;SIN INFORMACIÓN;SIN INFORMACIÓN;Niños;SIN INFORMACIÓN;2022;Frances
I. E. JOSEFINA MUÑOZ GONZÁLES;SIN INFORMACIÓN;SIN INFORMACIÓN;Niños;SIN INFORMACIÓN;2022;Frances
I. E. JOSEFINA MUÑOZ GONZÁLES;SIN INFORMACIÓN;SIN INFORMACIÓN;Niños;SIN INFORMACIÓN;2022;Frances
I. E. JOSEFINA MUÑOZ GONZÁLES;SIN INFORMACIÓN;SIN INFORMACIÓN;Niños;SIN INFORMACIÓN;2022;Frances
I. E. JOSEFINA MUÑOZ GONZÁLES;SIN INFORMACIÓN;SIN INFORMACIÓN;Niños;SIN INFORMACIÓN;2022;Frances
I. E. JOSEFINA MUÑOZ GONZÁLES;SIN INFORMACIÓN;SIN INFORMACIÓN;Niños;SIN INFORMACIÓN;2022;Frances
I. E. JOSEFINA MUÑOZ GONZÁLES;SIN INFORMACIÓN;SIN INFORMACIÓN;Niños;SIN INFORMACIÓN;2022;Frances
I. E. JOSEFINA MUÑOZ GONZÁLES;SIN INFORMACIÓN;SIN INFORMACIÓN;Niños;SIN INFORMACIÓN;2022;Frances
I. E. JOSEFINA MUÑOZ GONZÁLES;SIN INFORMACIÓN;SIN INFORMACIÓN;Niños;SIN INFORMACIÓN;2022;Frances
I. E. JOSEFINA MUÑOZ GONZÁLES;SIN INFORMACIÓN;SIN INFORMACIÓN;Niños;SIN INFORMACIÓN;2022;Frances
I. E. JOSEFINA MUÑOZ GONZÁLES;SIN INFORMACIÓN;SIN INFORMACIÓN;Niños;SIN INFORMACIÓN;2022;Frances
I. E. JOSEFINA MUÑOZ GONZÁLES;SIN INFORMACIÓN;SIN INFORMACIÓN;Niños;SIN INFORMACIÓN;2022;Frances
I. E. JOSEFINA MUÑOZ GONZÁLES;SIN INFORMACIÓN;SIN INFORMACIÓN;Niños;SIN INFORMACIÓN;2022;Frances
I. E. JOSEFINA MUÑOZ GONZÁLES;SIN INFORMACIÓN;SIN INFORMACIÓN;Niños;SIN INFORMACIÓN;2022;Frances
I. E. JOSEFINA MUÑOZ GONZÁLES;SIN INFORMACIÓN;SIN INFORMACIÓN;Niños;SIN INFORMACIÓN;2022;Frances
I. E. JOSEFINA MUÑOZ GONZÁLES;SIN INFORMACIÓN;SIN INFORMACIÓN;Niños;SIN INFORMACIÓN;2022;Frances
I. E. JOSEFINA MUÑOZ GONZÁLES;SIN INFORMACIÓN;SIN INFORMACIÓN;Niños;SIN INFORMACIÓN;2022;Frances
I. E. JOSEFINA MUÑOZ GONZÁLES;SIN INFORMACIÓN;SIN INFORMACIÓN;Niños;SIN INFORMACIÓN;2022;Frances
I. E. JOSEFINA MUÑOZ GONZÁLES;SIN INFORMACIÓN;SIN INFORMACIÓN;Niños;SIN INFORMACIÓN;2022;Frances
I. E. JOSEFINA MUÑOZ GONZÁLES;SIN INFORMACIÓN;SIN INFORMACIÓN;Niños;SIN INFORMACIÓN;2022;Frances
I. E. DOMINGO SAVIO;3;SIN INFORMACIÓN;Niños;SIN INFORMACIÓN;2022;Ingles
I. E. DOMINGO SAVIO;3;SIN INFORMACIÓN;Niños;SIN INFORMACIÓN;2022;Ingles
I. E. DOMINGO SAVIO;5;SIN INFORMACIÓN;Niños;SIN INFORMACIÓN;2022;Ingles
I. E. DOMINGO SAVIO;4;SIN INFORMACIÓN;Niños;SIN INFORMACIÓN;2022;Ingles
I. E. DOMINGO SAVIO;4;SIN INFORMACIÓN;Niños;SIN INFORMACIÓN;2022;Ingles
I. E. DOMINGO SAVIO;4;SIN INFORMACIÓN;Niños;SIN INFORMACIÓN;2022;Ingles
I. E. DOMINGO SAVIO;5;SIN INFORMACIÓN;Niños;SIN INFORMACIÓN;2022;Ingles
